target_kw,mp_id,donor_mp_id,injected_daily_kwh,injected_peak_kw,night_noise_kwh_slot,recovered,donor_based
0.5,145295,39692,3.7364673614501953,0.6374616622924805,0.0074,1,True
0.5,152986,39692,3.8823466300964355,0.6555194854736328,0.2565,0,True
0.5,91024,134329,3.948732852935791,0.5232782363891602,0.0178,1,True
0.5,149757,128655,1.6797256469726562,0.5476666688919067,0.0,1,True
0.5,701,39692,3.7719686031341553,0.6464342474937439,0.0141,1,True
0.5,79484,94429,1.2057420015335083,0.5282222032546997,0.0015,1,True
0.5,88974,94429,1.1900161504745483,0.5202221870422363,0.0133,1,True
0.5,119269,122261,2.0483226776123047,0.5215384364128113,0.0059,1,True
0.5,99611,94429,1.163306474685669,0.5211111307144165,0.0178,1,True
0.5,118947,154455,6.6182098388671875,0.5737258195877075,0.0148,1,True
0.5,111646,134329,4.239089488983154,0.532576858997345,0.0119,1,True
0.5,54820,134329,4.523392677307129,0.5179633498191833,0.0015,1,True
0.5,116088,46952,2.3017737865448,0.580417275428772,0.0089,1,True
0.5,137235,134329,4.458618640899658,0.5325769186019897,0.063,1,True
0.5,161780,39692,3.8663222789764404,0.6374616026878357,0.0104,1,True
0.5,133665,134329,4.027528285980225,0.5341842174530029,0.0297,1,True
0.5,61600,154455,5.954100131988525,0.5737258195877075,0.0334,0,True
0.5,36022,46952,2.4352259635925293,0.612018883228302,0.0059,1,True
0.5,143761,154455,7.632064342498779,0.6281043291091919,0.0,1,True
0.8,53628,63027,4.008871078491211,0.8326225280761719,0.358,1,True
0.8,155092,134329,4.295952796936035,0.859130859375,1.1208,0,True
0.8,120027,130287,1.0837117433547974,0.8231964111328125,9.5739,0,True
0.8,156859,122261,2.140225648880005,0.8350372314453125,1.4826,0,True
0.8,134355,94429,1.1845643520355225,0.8296661376953125,2.2773,0,True
0.8,50922,122261,2.1364195346832275,0.83642578125,1.0141,0,True
0.8,45390,46952,2.305161714553833,0.9306714534759521,2.1883,1,True
0.8,52540,130287,1.0896456241607666,0.832794189453125,1.8384,0,True
0.8,45389,128655,1.7166774272918701,0.8915004730224609,0.0756,0,True
0.8,42451,134329,3.908748149871826,0.8377838134765625,0.8829,0,True
0.8,53638,46952,2.3765666484832764,0.9288101196289062,1.1842,0,True
0.8,49688,39692,3.718433380126953,0.9863991737365723,0.0089,1,True
0.8,150072,94429,1.2119032144546509,0.8270000219345093,0.0074,1,True
0.8,109606,94429,1.201185703277588,0.8229999542236328,0.0074,1,True
0.8,59324,46952,2.247793197631836,0.9322031736373901,0.0593,1,True
0.8,119204,122261,2.4494035243988037,0.8116665482521057,0.0,1,True
0.8,152249,94429,1.1814112663269043,0.82833331823349,0.0163,0,True
0.8,40596,39692,3.781363010406494,1.021871566772461,0.0178,1,True
0.8,108942,94429,1.1606934070587158,0.8349999785423279,0.0474,1,True
0.8,79328,94429,1.1867984533309937,0.8296666741371155,0.0044,1,True
0.8,43023,128655,1.7753669023513794,0.887116014957428,0.0015,1,True
0.8,160281,154455,6.610612869262695,0.9910150170326233,0.0074,1,True
0.8,146154,72042,1.5680967569351196,0.7976213097572327,0.0089,1,True
0.8,151620,72042,1.5651286840438843,0.7910243272781372,0.0104,1,True
0.8,43886,134329,4.142385005950928,0.8678218126296997,0.0371,1,True
0.8,161721,128655,1.7581130266189575,0.8894999623298645,0.0133,1,True
0.8,130959,128655,1.69785475730896,0.880500078201294,0.0015,1,True
0.8,81628,63027,4.287290573120117,0.8344613313674927,0.0,1,True
0.8,103625,134329,4.324703693389893,0.842780590057373,0.0089,1,True
0.8,139899,134329,4.548747539520264,0.8423407077789307,0.0089,1,True
0.8,50750,130287,1.1027419567108154,0.83840012550354,0.0074,0,True
0.8,153523,63027,4.152032375335693,0.835558295249939,0.0089,1,True
0.8,60129,128655,1.6961290836334229,0.880500078201294,0.0044,1,True
0.8,50906,94429,1.2057418823242188,0.82833331823349,0.0015,1,True
0.8,62671,94429,1.1691129207611084,0.8323333263397217,0.0341,1,True
0.8,161592,128655,1.6316614151000977,0.880500078201294,0.003,0,True
0.8,80891,130287,1.0597419738769531,0.832800030708313,0.0311,0,True
0.8,152801,39692,3.82905650138855,0.9863991737365723,0.0089,1,True
0.8,108740,63027,4.269968032836914,0.8312152028083801,0.0119,1,True
0.8,86463,134329,4.306692600250244,0.8408240079879761,0.0104,1,True
0.8,57713,134329,4.030942916870117,0.842780590057373,0.0059,1,True
0.8,37255,130287,1.1081613302230835,0.832800030708313,0.0015,0,True
0.8,143363,154455,7.282435417175293,0.9910150766372681,0.0148,1,True
0.8,40306,128655,1.7479195594787598,0.891499936580658,0.0,1,True
0.8,45975,128655,1.7365483045578003,0.8805000185966492,0.0193,1,True
0.8,135101,134329,4.441876411437988,0.8268716335296631,0.0044,1,True
0.8,48676,94429,1.1747338771820068,0.8096665740013123,0.003,1,True
0.8,97973,134329,4.799557685852051,0.8670340776443481,0.0163,1,True
0.8,85829,39692,3.8484270572662354,1.1004387140274048,0.0,1,True
0.8,86608,130287,1.0461289882659912,0.8136000633239746,0.0119,0,True
0.8,115972,46952,2.6529674530029297,0.9323526620864868,0.0059,1,True
0.8,36996,154455,7.758354663848877,0.9705501794815063,0.0193,1,True
0.8,39619,46952,2.143967628479004,0.9280696511268616,0.003,1,True
0.8,54528,94429,1.17776620388031,0.8323333263397217,0.0089,0,True
0.8,54506,63027,4.142322540283203,0.8336217999458313,0.003,1,True
0.8,42564,63027,4.277161598205566,0.8355050683021545,0.0148,1,True
0.8,98956,134329,4.432490348815918,0.8670341372489929,0.0104,1,True
0.8,54310,154455,6.728822708129883,0.9705500602722168,0.0104,1,True
0.8,44226,154455,7.343167304992676,0.9954463839530945,0.017,1,True
0.8,150147,46952,2.2254838943481445,0.9787271022796631,0.0059,1,True
0.8,39749,130287,1.031516194343567,0.800000011920929,0.0074,0,True
0.8,38241,94429,1.176708459854126,0.8283333778381348,0.0159,1,True
0.8,117851,63027,4.1376776695251465,0.8326221704483032,0.0163,1,True
0.8,144150,46952,2.4414515495300293,0.9321767091751099,0.0052,1,True
0.8,144891,154455,6.330258369445801,0.9998778700828552,0.0074,1,True
0.8,42735,128655,1.6409999132156372,0.9025944471359253,0.0089,1,True
0.8,46633,134329,4.433656215667725,0.8588314056396484,0.0074,1,True
0.8,126705,72042,1.7227742671966553,0.802778959274292,0.0,1,True
0.8,85104,39692,3.6706290245056152,0.9657748341560364,0.0015,1,True
0.8,159411,63027,4.273322105407715,0.8344613909721375,0.0163,1,True
0.8,93082,130287,1.0764840841293335,0.8136001229286194,0.0104,0,True
0.8,137648,128655,1.7131775617599487,0.8871159553527832,0.0104,1,True
0.8,42224,39692,3.7807159423828125,1.0506737232208252,0.0,1,True
0.8,49541,63027,3.868741989135742,0.8349971771240234,0.0074,1,True
0.8,89262,63027,4.135483741760254,0.8336218595504761,0.0119,1,True
0.8,36788,130287,1.0561612844467163,0.8232000470161438,0.0059,0,True
0.8,164455,128655,1.6854356527328491,0.8840374946594238,0.0252,1,True
0.8,165539,154455,7.186661720275879,0.9634676575660706,0.0148,1,True
