plz,n_buildings,n_hotwater_hp,n_separate_wpb,n_known,n_small_air_boiler,gwr_hp_rate,gwr_separate_wpb_rate,gwr_hp_rate_known,gwr_hp_rate_including_small_air
5503,856,187,5,852,0,0.21845794392523366,0.005841121495327103,0.21948356807511737,0.21845794392523366
5504,739,241,5,737,0,0.3261163734776725,0.006765899864682003,0.32700135685210313,0.3261163734776725
5505,197,44,0,197,0,0.2233502538071066,0.0,0.2233502538071066,0.2233502538071066
5506,576,110,4,575,0,0.1909722222222222,0.006944444444444444,0.19130434782608696,0.1909722222222222
5507,1039,222,51,1012,0,0.2136669874879692,0.04908565928777671,0.21936758893280633,0.2136669874879692
5512,469,76,5,467,0,0.16204690831556504,0.010660980810234541,0.16274089935760172,0.16204690831556504
5522,432,83,8,432,0,0.19212962962962962,0.018518518518518517,0.19212962962962962,0.19212962962962962
5524,751,136,6,744,0,0.1810918774966711,0.007989347536617843,0.1827956989247312,0.1810918774966711
5525,456,124,4,455,0,0.2719298245614035,0.008771929824561403,0.2725274725274725,0.2719298245614035
5600,1902,303,11,1892,0,0.15930599369085174,0.0057833859095688745,0.1601479915433404,0.15930599369085174
5603,825,163,11,819,0,0.19757575757575757,0.013333333333333334,0.199023199023199,0.19757575757575757
5604,378,107,7,377,0,0.2830687830687831,0.018518518518518517,0.2838196286472148,0.2830687830687831
5605,951,211,6,948,0,0.22187171398527866,0.006309148264984227,0.22257383966244726,0.22187171398527866
5606,520,96,4,517,0,0.18461538461538463,0.007692307692307693,0.18568665377176016,0.18461538461538463
5607,786,174,7,765,0,0.22137404580152673,0.008905852417302799,0.22745098039215686,0.22137404580152673
5608,554,136,1,528,0,0.24548736462093862,0.0018050541516245488,0.25757575757575757,0.24548736462093862
5610,2984,530,14,2980,0,0.17761394101876676,0.004691689008042895,0.17785234899328858,0.17761394101876676
5611,331,83,1,330,0,0.25075528700906347,0.0030211480362537764,0.2515151515151515,0.25075528700906347
5612,1375,256,20,1367,0,0.18618181818181817,0.014545454545454545,0.1872713972201902,0.18618181818181817
5613,117,37,3,117,0,0.3162393162393162,0.02564102564102564,0.3162393162393162,0.3162393162393162
5614,862,286,3,861,0,0.33178654292343385,0.0034802784222737818,0.3321718931475029,0.33178654292343385
5615,646,211,5,642,0,0.326625386996904,0.007739938080495356,0.32866043613707163,0.326625386996904
5616,714,270,4,713,0,0.37815126050420167,0.0056022408963585435,0.37868162692847124,0.37815126050420167
5617,161,59,1,161,0,0.36645962732919257,0.006211180124223602,0.36645962732919257,0.36645962732919257
5618,201,55,0,199,0,0.2736318407960199,0.0,0.27638190954773867,0.2736318407960199
5619,455,93,1,455,0,0.2043956043956044,0.002197802197802198,0.2043956043956044,0.2043956043956044
5620,1171,193,7,1153,0,0.16481639624252775,0.005977796754910333,0.1673894189071986,0.16481639624252775
5621,979,255,27,979,0,0.2604698672114402,0.027579162410623085,0.2604698672114402,0.2604698672114402
5622,772,162,6,768,0,0.20984455958549222,0.007772020725388601,0.2109375,0.20984455958549222
5623,726,142,2,723,0,0.19559228650137742,0.0027548209366391185,0.19640387275242047,0.19559228650137742
5624,356,116,1,355,0,0.3258426966292135,0.0028089887640449437,0.3267605633802817,0.3258426966292135
