plz,n_households,n_flagged,flag_rate,n_buildings,n_heat_pump,n_known,gwr_hp_rate,gwr_hp_rate_known
5727,1473,1325,0.8995247793618466,697,211,697,0.30272596843615496,0.30272596843615496
5728,1,0,0.0,688,168,688,0.2441860465116279,0.2441860465116279
5733,240,185,0.7708333333333334,178,68,178,0.38202247191011235,0.38202247191011235
5736,618,581,0.9401294498381877,316,86,316,0.2721518987341772,0.2721518987341772
5737,6,6,1.0,1525,514,1524,0.33704918032786885,0.33727034120734906
5745,2335,2058,0.8813704496788008,1120,460,1119,0.4107142857142857,0.4110813226094727
8918,8,0,0.0,368,138,368,0.375,0.375
8953,32,26,0.8125,2,0,2,0.0,0.0
8962,1479,1264,0.854631507775524,857,380,857,0.44340723453908987,0.44340723453908987
8964,1,1,1.0,896,241,896,0.2689732142857143,0.2689732142857143
8967,19,16,0.8421052631578947,796,273,794,0.34296482412060303,0.3438287153652393
