mp_id,imp_kwh,imp_days,imp_night_kwh,exp_kwh,exp_days,exp_midday_days,best_summer_days,best_summer_midday_days,peak_slot_med
35811,3772.5090079307556,1239,217.59100264310837,0.0,1239,0,0,0,
35812,7063.436008453369,1239,426.63700103759766,0.0,1239,0,0,0,
35813,7393.74299621582,1239,351.79700112342834,0.0,1239,0,0,0,
35814,15863.761047363281,1239,807.2069969177246,0.0,1239,0,0,0,
35815,35414.81494140625,1239,2392.5130348205566,0.0,1239,0,0,0,
35816,25146.652954101562,1239,1894.7609729766846,0.0,1239,0,0,0,
35817,4597.290962219238,1239,248.86400258541107,0.0,1239,0,0,0,
35818,17095.071990966797,1239,810.9989995956421,0.0,1239,0,0,0,
35819,5650.22492980957,1270,700.7009963989258,0.0,1270,0,0,0,
35821,7348.2290115356445,1270,464.286997795105,0.0,1270,0,0,0,
35822,30230.963104248047,1270,3404.346992492676,0.0,1270,0,0,0,
35823,34549.29364013672,783,3161.269018173218,0.0,783,0,0,0,
35824,48858.21410369873,1270,9069.305996894836,0.0,1270,0,0,0,
35825,6012.857966661453,1270,666.9749982655048,0.0,1270,0,0,0,
35826,16105.41291809082,1270,958.0769996643066,0.0,1270,0,0,0,
35827,24553.364963531494,1239,3540.8649826049805,28268.11865234375,1239,1151,123,123,46.0
35828,27441.29605102539,1239,2648.8760137557983,0.0,1239,0,0,0,
35829,2397.7279842831194,1239,223.13899670168757,0.0,1239,0,0,0,
35830,14723.431762695312,418,808.9709968566895,0.0,418,0,0,0,
35831,24033.489959716797,1239,3134.961009979248,0.0,1239,0,0,0,
35832,21466.19611930847,1239,3309.9779855012894,2695.3570088148117,1239,281,123,62,54.0
35833,23733.558979034424,1239,2418.6409948170185,0.0,1239,0,0,0,
35834,9584.490936279297,1239,1244.465006828308,0.0,1239,0,0,0,
35835,9618.847984313965,1239,760.128002166748,0.0,1239,0,0,0,
35836,5197.990004062653,1239,453.91999533376656,0.0,1239,0,0,0,
35837,9995.597988128662,1239,835.7510042190552,0.0,1239,0,0,0,
35838,10136.84001159668,1239,999.2850112915039,0.0,1239,0,0,0,
35839,7029.824996948242,1239,460.1459984779358,0.0,1239,0,0,0,
35840,6748.981140136719,205,1748.5649642944336,0.0,205,0,0,0,
35841,45648.36996459961,1239,5620.482934951782,0.0,1239,0,0,0,
35842,28149.37680053711,1239,4374.5629959106445,0.0,1239,0,0,0,
35843,111487.14349365234,1239,9017.154960632324,0.0020000000949949026,1239,0,0,0,53.0
35844,1007.7990059693111,1239,112.26899895071983,0.0,1239,0,0,0,
35845,2130.0899422894,1239,200.5459983497858,0.0,1239,0,0,0,
35846,10049.785972595215,1239,471.85999870300293,0.0050000002374872565,1239,0,0,0,63.5
35847,6924.981979370117,1239,320.39000511169434,0.0,1239,0,0,0,
35848,2690.4270095825195,1239,219.8500006198883,0.0,1239,0,0,0,
