mp_id,is_production_meter,is_silver_pv,exp_kwh,imp_kwh,best_summer_midday_days,peak_slot_med
122157,False,False,0.0,2403.9909992218018,0,
122158,False,False,0.0,1878.1990184783936,0,
122159,False,False,0.0,836.3550086021423,0,
122160,False,False,0.0,3938.156011581421,0,
122161,False,False,1.5090000592172146,57064.03698730469,0,36.0
122260,False,False,0.0,2550.683006286621,0,
122264,False,False,0.0,3399.2510318756104,0,
122274,False,False,0.0,1758.0060119628906,0,
122288,False,False,0.0,2310.413999557495,0,
122289,False,False,0.0,2332.931001663208,0,
122290,False,False,0.0,263.4919948577881,0,
122292,False,False,0.0,3050.8199768066406,0,
122295,False,False,0.0,4763.135032653809,0,
122296,False,False,0.0,2995.451992034912,0,
122302,False,False,0.0,25336.71506500244,0,
122305,False,False,0.0,3313.6739768981934,0,
122315,False,False,0.0,4742.583034515381,0,
122316,False,False,0.0,2976.3090257644653,0,
122317,False,False,0.0,1698.144983291626,0,
122318,False,False,0.0,1530.217007637024,0,
122319,False,False,0.0,2990.7270278930664,0,
122320,False,False,0.0,2096.9969987869263,0,
122321,False,False,0.0,1600.5139961242676,0,
122322,False,False,0.0,1787.90899848938,0,
122323,False,False,0.0,1950.77898311615,0,
122324,False,False,0.0,2848.940008163452,0,
122325,False,False,0.0,4848.003034591675,0,
122326,False,False,0.0,4386.959972381592,0,
122478,False,False,0.0,829.4760227203369,0,
122631,False,False,0.0,11458.821044921877,0,
126309,False,False,0.0,16434.846252441406,0,
131902,False,True,16987.8147315979,37902.608459472656,123,52.75
137707,False,False,0.0,2010.602001190185,0,
137708,False,False,0.0,3962.087966918945,0,
137709,False,False,0.0,1939.3140029907229,0,
137710,False,False,0.0,2387.84098815918,0,
137711,False,False,0.0,4942.118011474609,0,
137712,False,True,333.19799840450287,5695.078063964844,74,49.0
142527,False,False,0.0,4060.365955352783,0,
142528,False,False,0.0,20861.865966796875,0,
142529,False,False,0.0,4558.694999694824,0,
142530,False,False,0.0,8504.163970947266,0,
142531,False,False,0.0,11111.06997680664,0,
142532,False,False,0.0,2038.8229598999023,0,
143770,False,False,0.0,0.0,0,
