GP-Nr;PLZ;Ort;Kanton;WärmePumpe; PV;PV-Leistung in kWp ;Batterie/Speicher;Ladestation für Elektrofahrzeuge;Wärmepumpenboiler;Datum Unterschrift;geplanter Baustart;Übergabe;InBetrieb-Datum;InBetrieb-Datum bezieht sich auf;MP IDs;n_meters
153783;5619;Uezwil;AG;;x;;x;-;-;24.09.2022;Q3/2023;21.11.2023;21.09.2022;PV + Batterie;82232;1
712273;4313;Möhlin;AG;-;-;;x;-;x;25.09.2022;Q4/2022;;23.08.2021;Batterie + Wärmepumpenboiler;154700;1
694569;5452;Oberrohrdorf;AG;-;x;;x;-;-;29.09.2022;25.09.2023;08.11.2023;;;130489,96067;2
713894;4323;Wallbach;AG;-;x;;-;-;-;29.09.2022;08.03.2023;07.09.2023;11.08.2023;PV;63674;1
179215;5607;Hägglingen;AG;x;x;;-;-;-;03.10.2022;01.04.2023;;01.09.2023;Wärmepumpe + PV;150900;1
727423;4325;Schupfart;AG;-;-;;x;-;-;04.10.2022;01.11.2023;-;28.05.2020;Batterie;153284;1
718990;5027;Herznach;AG;x;x;14.45;x;-;-;10.10.2022;30.10.2023;27.02.2024;30.10.2023;Wärmepumpe + PV + Batterie;131834;1
120135;4313;Möhlin;AG;-;x;13.2;x;-;-;11.10.2022;01.10.2023;;01.11.2023;PV + Batterie;154632;1
893520;4313;Möhlin;AG;;x;13.6;x;;;13.10.2022;01.10.2023;;03.11.2023;PV + Batterie;154635;1
104987;4322;Mumpf;AG;;x;16.61;x;;;21.10.2022;Q4 2023;;03.11.2023;PV + Batterie;109050;1
785596;5622;Waltenschwil;AG;x;x;12.75;x;x;;24.10.2022;06.12.2023;07.05.2024;29.09.2023;Wärmepumpe + PV + Batterie + EV-Ladestation;100811;1
149164;5600;Ammerswil AG;AG;x;x;;x;;;27.10.2022;Q4 / 2023;;06.12.2023;Wärmepumpe + PV + Batterie;70028;1
130747;5622;Waltenschwil;AG;x;;;;;;28.10.2022;24.07.2023;18.09.2023;;;102057;1
118639;5607;Hägglingen;AG;;x;30.88;x;x;;31.10.2022;04.12.2023;28.08.2024;04.07.2024;PV + Batterie + EV-Ladestation;149254;1
120137;4313;Möhlin;AG;;x;13.6;x;;;31.10.2022;01.10.2023;;01.11.2023;PV + Batterie;154633;1
692466;8962;Bergdietikon;AG;;x;13.17;x;;;05.11.2022;Q4 2023;;;;61683,95510;2
734481;5600;Ammerswil AG;AG;;x;;x;;;09.11.2022;27.11.2023;;14.12.2023;PV + Batterie;97650;1
720808;4325;Schupfart;AG;;x;;;;;10.11.2022;Q4 2023;;10.08.2023;PV;156311;1
692112;8962;Bergdietikon;AG;-;-;;-;-;-;15.11.2022;baldmöglichst ;;;;65290,66549;2
790904;5506;Mägenwil;AG;;x;;x;x;;18.11.2022;01.10.2023;07.11.2023;16.03.2023;PV + Batterie + EV-Ladestation;106074;1
821253;4303;Kaiseraugst;AG;x;x;;x;;;21.11.2022;01.09.2023;23.10.2023;08.08.2023;Wärmepumpe + PV + Batterie;122202;1
698929;5605;Dottikon;AG;x;x;17.38;x;;;23.11.2022;02.01.1900;05.02.2024;15.12.2023;Wärmepumpe + PV + Batterie;172731;1
702016;4313;Möhlin;AG;;x;;;;;23.11.2022;24.07.2023;02.10.2023;;;137429;1
703035;5443;Niederrohrdorf;AG;x;;;;;;23.11.2022;01.09.2023;25.10.2023;04.09.2023;Wärmepumpe;36229,36230;2
714621;5107;Schinznach Dorf;AG;-;-;;x;-;-;03.12.2022;;24.06.2024;17.12.2020;Batterie;147474;1
696579;5605;Dottikon;AG;-;x;10.2;x;;;06.12.2022;01.01.2024;23.01.2024;12.01.2024;PV + Batterie;173867;1
903068;5620;Bremgarten AG;AG;;x;;x;x;;06.12.2022;01.09.2023;;08.11.2023;PV + Batterie + EV-Ladestation;128926;1
821258;4303;Kaiseraugst;AG;-;-;;-;x;-;10.12.2022;20.06.2023;;09.05.2023;EV-Ladestation;120936;1
