gp_nr;n_meters;n_meters_with_data;meter_max_winter_summer_ratio;meter_min_summer_share;n_heat_pump_like_meters;n_production_only_meters;meter_max_imp_kwh;meter_min_imp_kwh;household_imp_kwh;household_exp_kwh;is_winter_dominant;has_dedicated_hp_meter;has_production_only_meter;is_multi_meter;is_multi_unit;meter_concentration
702339;2;2;3.077828309801585;0.24522856874488103;0;0;34383.954005241394;2612.852997839451;36996.807003080845;0.0;0;0;0;1;0;0.92937625677746
703035;2;2;6.1361489432163445;0.1401316043088765;1;0;38437.857978105545;6199.550997495651;44637.408975601196;0.0;1;1;0;1;0;0.8611131080461161
703359;1;1;;1.0;0;0;362.7820014953613;362.7820014953613;362.7820014953613;3363.2919883728027;0;0;0;0;0;1.0
703415;1;1;0.9593199445574115;0.5103811670869756;0;0;6707.240000277758;6707.240000277758;6707.240000277758;0.0;0;0;0;0;0;1.0
704806;1;1;2.731579953077102;0.2679830025282961;0;0;1058.7200012207031;1058.7200012207031;1058.7200012207031;10274.051044106483;0;0;0;0;0;1.0
705057;2;2;10.634246020415091;0.08595314197802408;1;1;13585.226059675217;16.701000194996595;13601.927059870213;57420.887976277154;1;1;1;1;0;0.9987721592593839
705536;1;1;14.899666794717211;0.06289439979536286;1;0;12399.214018583298;12399.214018583298;12399.214018583298;26039.382178515545;1;0;0;0;0;1.0
706277;1;1;8.094447305597486;0.10995720425852774;1;0;6616.699992984533;6616.699992984533;6616.699992984533;1056.9570145318285;1;0;0;0;0;1.0
706335;1;1;5.056809782655434;0.1651034184470589;1;0;6538.453012019396;6538.453012019396;6538.453012019396;13224.535858241143;1;0;0;0;0;1.0
706538;1;1;7.826540099261393;0.11329467591538844;1;0;21341.06997036934;21341.06997036934;21341.06997036934;306.7300002297852;1;0;0;0;0;1.0
707268;1;1;17.831498705103602;0.0531025180555059;1;0;3682.7539879903197;3682.7539879903197;3682.7539879903197;11507.652670082403;1;0;0;0;0;1.0
707738;2;2;1.4194417910695434;0.41331847853960474;0;0;82870.32084655762;14301.769061088562;97172.08990764618;30671.06797272165;0;0;0;1;0;0.8528201968828583
708813;1;1;12.549176103996793;0.07380522567014357;1;0;862.8209925591945;862.8209925591945;862.8209925591945;7132.665965571767;1;0;0;0;0;1.0
