amplitude_kw,minimum_duration_hours,family,weekly_score_cutoff,minimum_evidence_weeks,score_floor,flagged,new_positive_overrides,accuracy,balanced_accuracy,pr_auc,precision,recall,f1,brier
1.5,2.0,plateau,0.95,3,0.7,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,2.0,plateau,0.95,3,0.9,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,2.0,plateau,0.95,4,0.7,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,2.0,plateau,0.95,4,0.9,0,0,0.7313432835820896,0.7513477088948787,0.5883972887660776,0.4230769230769231,0.7857142857142857,0.55,0.1698718441082243
1.5,2.0,repeat,0.85,1,0.7,55,33,0.3283582089552239,0.5754716981132075,0.48968116730835176,0.23728813559322035,1.0,0.3835616438356164,0.3590542236997162
1.5,2.0,repeat,0.85,1,0.9,55,33,0.3283582089552239,0.5754716981132075,0.1918973408591119,0.23728813559322035,1.0,0.3835616438356164,0.560670984990321
1.5,2.0,repeat,0.85,2,0.7,54,32,0.31343283582089554,0.5397574123989218,0.48308172145027206,0.22413793103448276,0.9285714285714286,0.3611111111111111,0.36709619218750744
1.5,2.0,repeat,0.85,2,0.9,54,32,0.31343283582089554,0.5397574123989218,0.18059254396109464,0.22413793103448276,0.9285714285714286,0.3611111111111111,0.5699069833288586
1.5,2.0,repeat,0.85,3,0.7,50,28,0.34328358208955223,0.532345013477089,0.48350296609053867,0.2222222222222222,0.8571428571428571,0.35294117647058826,0.3542633826261239
1.5,2.0,repeat,0.85,3,0.9,50,28,0.34328358208955223,0.532345013477089,0.17983118968766976,0.2222222222222222,0.8571428571428571,0.35294117647058826,0.5439398454092661
1.5,2.0,repeat,0.85,4,0.7,49,27,0.3582089552238806,0.5417789757412399,0.48543625666822454,0.22641509433962265,0.8571428571428571,0.3582089552238806,0.3480683763560005
1.5,2.0,repeat,0.85,4,0.9,49,27,0.3582089552238806,0.5417789757412399,0.18307445480462198,0.22641509433962265,0.8571428571428571,0.3582089552238806,0.5329687197361577
1.5,2.0,repeat,0.9,1,0.7,53,31,0.3283582089552239,0.5491913746630728,0.48514701933404936,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.36019170689617996
1.5,2.0,repeat,0.9,1,0.9,53,31,0.3283582089552239,0.5491913746630728,0.1838994972644249,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.558226378634546
1.5,2.0,repeat,0.9,2,0.7,53,31,0.3283582089552239,0.5491913746630728,0.48514701933404936,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.36019170689617996
1.5,2.0,repeat,0.9,2,0.9,53,31,0.3283582089552239,0.5491913746630728,0.1838994972644249,0.22807017543859648,0.9285714285714286,0.36619718309859156,0.558226378634546
1.5,2.0,repeat,0.9,3,0.7,49,27,0.3582089552238806,0.5417789757412399,0.48543625666822454,0.22641509433962265,0.8571428571428571,0.3582089552238806,0.3480683763560005
1.5,2.0,repeat,0.9,3,0.9,49,27,0.3582089552238806,0.5417789757412399,0.18307445480462198,0.22641509433962265,0.8571428571428571,0.3582089552238806,0.5329687197361577
1.5,2.0,repeat,0.9,4,0.7,47,27,0.3582089552238806,0.5417789757412399,0.4886382909548813,0.22641509433962265,0.8571428571428571,0.3582089552238806,0.34108864013189566
1.5,2.0,repeat,0.9,4,0.9,47,27,0.3582089552238806,0.5417789757412399,0.18906720872259636,0.22641509433962265,0.8571428571428571,0.3582089552238806,0.5164367447060827
1.5,2.0,repeat,0.95,1,0.7,41,22,0.43283582089552236,0.5889487870619946,0.503286591767814,0.25,0.8571428571428571,0.3870967741935484,0.30353679450902693
1.5,2.0,repeat,0.95,1,0.9,41,22,0.43283582089552236,0.5889487870619946,0.2137604863738698,0.25,0.8571428571428571,0.3870967741935484,0.4502281826653034
1.5,2.0,repeat,0.95,2,0.7,28,16,0.5223880597014925,0.6455525606469003,0.5180753926524603,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.26104515234379216
1.5,2.0,repeat,0.95,2,0.9,28,16,0.5223880597014925,0.6455525606469003,0.22951819001612214,0.2857142857142857,0.8571428571428571,0.42857142857142855,0.3635130290509559
1.5,2.0,repeat,0.95,3,0.7,16,8,0.6119402985074627,0.6758760107816711,0.5391346214281786,0.3235294117647059,0.7857142857142857,0.4583333333333333,0.2193294637839642
1.5,2.0,repeat,0.95,3,0.9,16,8,0.6119402985074627,0.6758760107816711,0.2888218647465586,0.3235294117647059,0.7857142857142857,0.4583333333333333,0.2720488685039546
1.5,2.0,repeat,0.95,4,0.7,11,5,0.6567164179104478,0.704177897574124,0.5581941368663657,0.3548387096774194,0.7857142857142857,0.4888888888888889,0.1997249279460712
1.5,2.0,repeat,0.95,4,0.9,11,5,0.6567164179104478,0.704177897574124,0.329868488425171,0.3548387096774194,0.7857142857142857,0.4888888888888889,0.23401084057455443
3.0,1.5,block,0.85,1,0.7,52,30,0.34328358208955223,0.5586253369272237,0.4870389696282552,0.23214285714285715,0.9285714285714286,0.37142857142857144,0.3539967006260567
3.0,1.5,block,0.85,1,0.9,52,30,0.34328358208955223,0.5586253369272237,0.18708213800026469,0.23214285714285715,0.9285714285714286,0.37142857142857144,0.5472552529614377
3.0,1.5,block,0.85,2,0.7,50,30,0.34328358208955223,0.5586253369272237,0.4907266728105676,0.23214285714285715,0.9285714285714286,0.37142857142857144,0.3470169644019518
3.0,1.5,block,0.85,2,0.9,50,30,0.34328358208955223,0.5586253369272237,0.19351040168673353,0.23214285714285715,0.9285714285714286,0.37142857142857144,0.5307232779313626
3.0,1.5,block,0.85,3,0.7,48,28,0.373134328358209,0.5774932614555256,0.49526798140639894,0.24074074074074073,0.9285714285714286,0.38235294117647056,0.33333899461508737
3.0,1.5,block,0.85,3,0.9,48,28,0.373134328358209,0.5774932614555256,0.20102721367073334,0.24074074074074073,0.9285714285714286,0.38235294117647056,0.5074930693385281
3.0,1.5,block,0.85,4,0.7,48,28,0.373134328358209,0.5774932614555256,0.49526798140639894,0.24074074074074073,0.9285714285714286,0.38235294117647056,0.33333899461508737
3.0,1.5,block,0.85,4,0.9,48,28,0.373134328358209,0.5774932614555256,0.20102721367073334,0.24074074074074073,0.9285714285714286,0.38235294117647056,0.5074930693385281
3.0,1.5,block,0.9,1,0.7,49,29,0.3582089552238806,0.5680592991913747,0.4930797105166852,0.23636363636363636,0.9285714285714286,0.37681159420289856,0.3398717224906384
3.0,1.5,block,0.9,1,0.9,49,29,0.3582089552238806,0.5680592991913747,0.19731997805227097,0.23636363636363636,0.9285714285714286,0.37681159420289856,0.5188019166170641
3.0,1.5,block,0.9,2,0.7,48,28,0.373134328358209,0.5774932614555256,0.49526798140639894,0.24074074074074073,0.9285714285714286,0.38235294117647056,0.33333899461508737
3.0,1.5,block,0.9,2,0.9,48,28,0.373134328358209,0.5774932614555256,0.20102721367073334,0.24074074074074073,0.9285714285714286,0.38235294117647056,0.5074930693385281
